country,field,year,estimated_investment,complete
Cyprus,Education,2020,3,True
Cyprus,Community and Lifestyle,2023,0,True
Cyprus,Hardware,2024,3,False
Cyprus,Media and Entertainment,2021,1,True
Denmark,Community and Lifestyle,2018,3,True
Denmark,NLP,2020,82,True
Spain,Navigation and mapping,2019,7,True
Spain,Sports,2019,0,True
Spain,Facial Recognition,2016,0,True
Spain,Robotics,2020,4,True
Estonia,Real estate,2021,2,True
Finland,Energy and natural resources,2021,9,True
Finland,NLP,2017,1,True
Finland,NLP,2021,1,True
Ghana,Software,2023,12,True
Ghana,Data and analytics,2022,1,True
Ghana,Data and analytics,2023,12,True
Croatia,Real estate,2021,3,True
Croatia,"Sales, retail, commerce, marketing",2022,2,True
Croatia,Robotics,2015,0,True
Croatia,Robotics,2021,3,True
Hungary,Media and Entertainment,2016,0,True
Hungary,Manufacturing,2018,0,True
Hungary,Gaming,2016,0,True
Hungary,NLP,2016,1,True
Hungary,NLP,2021,0,True
Hungary,Professional services,2016,0,True
Indonesia,Consumer goods,2020,2,True
India,Biotechnology,2015,0,True
Ireland,NLP,2018,3,True
Ireland,Finance,2016,0,True
Iceland,Lending and Investments,2019,2,True
Iceland,Other,2020,0,True
Israel,Lending and Investments,2018,8,True
Israel,Education,2021,7,True
Italy,Telecommunications,2023,0,True
Italy,Privacy and Security,2019,1,True
Italy,Education,2022,19,True
Jordan,General purpose,2019,1,True
Japan,Consumer goods,2015,2,True
Lebanon,Professional services,2015,0,True
Sri Lanka,Data and analytics,2024,3,False
Sri Lanka,General purpose,2023,3,True
Luxembourg,All,2021,307,True
Luxembourg,Media and Entertainment,2015,0,True
Luxembourg,"Mobile, platforms & Internet services",2021,304,True
Mexico,Professional services,2021,0,True
Mexico,Biotechnology,2018,0,True
Malaysia,Finance,2019,0,True
Malaysia,"Mobile, platforms & Internet services",2021,17,True
Malaysia,Other,2022,59,True
Nigeria,"Sales, retail, commerce, marketing",2017,0,True
Nigeria,"Sales, retail, commerce, marketing",2018,5,True
Netherlands,Agriculture,2023,15,True
Netherlands,Real estate,2020,0,True
Norway,Sports,2018,7,True
Norway,Consumer goods,2022,7,True
Norway,Transportation,2022,2,True
New Zealand,Real estate,2016,135,True
New Zealand,Community and Lifestyle,2019,3,True
Pakistan,General purpose,2015,0,True
Pakistan,General purpose,2017,0,True
Pakistan,All,2015,1,True
Pakistan,All,2020,0,True
Pakistan,All,2022,16,True
Pakistan,Software,2021,4,True
Peru,Software,2017,0,True
Poland,Other,2015,2,True
Poland,Media and Entertainment,2020,1,True
Poland,Transportation,2020,3,True
Puerto Rico,"Mobile, platforms & Internet services",2017,0,True
Portugal,Computer Vision,2018,0,True
Portugal,Biotechnology,2018,0,True
Romania,"Mobile, platforms & Internet services",2019,1,True
Russia,Hardware,2018,4,True
Saudi Arabia,Healthcare and Life Sciences,2023,145,True
Saudi Arabia,Transportation,2016,54,True
Saudi Arabia,Transportation,2017,0,True
Singapore,Agriculture,2021,18,True
Singapore,Semiconductor,2023,2,True
Slovakia,Professional services,2015,1,True
Slovakia,"Sales, retail, commerce, marketing",2023,1,True
Sweden,NLP,2020,11,True
Sweden,NLP,2022,5,True
Sweden,Consumer goods,2016,0,True
Sweden,Navigation and mapping,2021,3,True
Seychelles,Finance,2017,1,True
Seychelles,Finance,2023,50,True
Turkey,Real estate,2018,1,True
Taiwan,Computer Vision,2021,0,True
Taiwan,Education,2019,2,True
Ukraine,Hardware,2024,0,False
Ukraine,Data and analytics,2020,5,True
Uruguay,"Sales, retail, commerce, marketing",2021,0,True
South Africa,Other,2017,0,True
Ireland,Biotechnology,2019,0,True
Australia,All,2023,704,True
Australia,Computer Vision,2016,1,True
Australia,Real estate,2020,12,True
Australia,General purpose,2014,0,True
Australia,Transportation,2018,6,True
Australia,Consumer goods,2014,0,True
Austria,Software,2018,51,True
Austria,General purpose,2022,102,True
Austria,Information Technology,2023,95,True
Austria,All,2020,142,True
Canada,Privacy and Security,2017,142,True
Canada,General purpose,2019,802,True
Switzerland,Software,2023,243,True
Switzerland,Data and analytics,2018,563,True
Switzerland,Professional services,2022,186,True
Switzerland,Privacy and Security,2016,21,True
Switzerland,Privacy and Security,2017,9,True
Chile,Software,2022,11,True
China (mainland),Real estate,2021,283,True
China (mainland),Privacy and Security,2016,11,True
China (mainland),Hardware,2018,1861,True
China (mainland),Media and Entertainment,2018,479,True
China (mainland),Information Technology,2022,674,True
China (mainland),Transportation,2014,5,True
China (mainland),Robotics,2024,890,False
China (mainland),Computer Vision,2014,20,True
China (mainland),Computer Vision,2020,74,True
China (mainland),Computer Vision,2024,351,False
China (mainland),Healthcare and Life Sciences,2017,271,True
Cyprus,All,2020,45,True
Czechia,"Sales, retail, commerce, marketing",2014,0,True
Germany,Finance,2020,66,True
Germany,"Mobile, platforms & Internet services",2021,381,True
Germany,Lending and Investments,2020,18,True
Germany,Lending and Investments,2024,17,False
Germany,Media and Entertainment,2023,294,True
Spain,Software,2018,101,True
Spain,Professional services,2017,15,True
Spain,"Mobile, platforms & Internet services",2019,63,True
Spain,Education,2018,1,True
Spain,Healthcare and Life Sciences,2016,3,True
Estonia,Professional services,2022,2,True
Estonia,All,2015,11,True
Estonia,Other,2015,0,True
Estonia,Software,2017,1,True
Finland,Data and analytics,2021,2165,True
Finland,Information Technology,2022,49,True
France,Software,2020,1979,True
France,"Mobile, platforms & Internet services",2016,218,True
United Kingdom,Energy and natural resources,2020,258,True
United Kingdom,Telecommunications,2018,12,True
United Kingdom,Finance,2022,632,True
United Kingdom,General purpose,2016,1586,True
United Kingdom,General purpose,2023,2486,True
United Kingdom,Biotechnology,2014,10,True
United Kingdom,Cyber Security,2015,1,True
United Kingdom,Lending and Investments,2022,155,True
United Kingdom,Privacy and Security,2019,70,True
Hungary,Software,2021,8,True
India,General purpose,2014,55,True
India,Media and Entertainment,2024,127,False
India,"Mobile, platforms & Internet services",2019,288,True
India,Finance,2016,3,True
India,"Sales, retail, commerce, marketing",2017,17,True
India,All,2016,222,True
Israel,Transportation,2014,14,True
Israel,Privacy and Security,2015,91,True
Israel,Community and Lifestyle,2022,99,True
Israel,Robotics,2018,75,True
Italy,Finance,2021,8,True
Italy,Software,2016,12,True
Italy,"Mobile, platforms & Internet services",2015,1,True
Japan,Community and Lifestyle,2020,11,True
Japan,Robotics,2019,100,True
South Korea,Other,2023,24,True
Mexico,Information Technology,2016,1,True
Netherlands,Hardware,2014,4,True
Netherlands,Software,2016,588,True
Netherlands,General purpose,2018,1151,True
Netherlands,Robotics,2017,7,True
New Zealand,Data and analytics,2024,83,False
Poland,All,2021,130,True
Poland,Data and analytics,2014,9,True
Portugal,General purpose,2020,9,True
Portugal,Other,2023,2,True
Portugal,Software,2020,7,True
Portugal,Hardware,2016,0,True
Portugal,All,2014,9,True
Russia,All,2024,39,False
Russia,Data and analytics,2019,24,True
Saudi Arabia,"Mobile, platforms & Internet services",2024,81,False
Saudi Arabia,Software,2014,2,True
Saudi Arabia,Data and analytics,2019,200,True
Singapore,Software,2019,1852,True
Singapore,Privacy and Security,2020,13,True
Singapore,General purpose,2018,495,True
Singapore,"Sales, retail, commerce, marketing",2019,141,True
Taiwan,General purpose,2015,16,True
United States,Biotechnology,2017,413,True
United States,"Military, public safety and government",2022,1215,True
United States,Media and Entertainment,2016,1457,True
United States,Software,2014,8683,True
United States,Agriculture,2019,309,True
United States,Semiconductor,2024,1905,False
United States,Professional services,2023,6952,True
South Africa,Software,2015,22,True
Japan,Sports,2021,5,True
Portugal,"Mobile, platforms & Internet services",2022,7,True
Austria,"Mobile, platforms & Internet services",2016,1,True
Canada,Gaming,2023,3,True
Germany,Education,2019,6,True
Lithuania,Software,2014,0,True
Netherlands,NLP,2014,0,True
Netherlands,NLP,2020,2,True
Poland,Finance,2018,6,True
Romania,Software,2014,2,True
Sweden,Biotechnology,2016,1,True
United Arab Emirates,"Mobile, platforms & Internet services",2024,1695,False
Australia,Energy and natural resources,2016,0,True
Canada,Telecommunications,2022,2,True
Denmark,"Mobile, platforms & Internet services",2018,152,True
Denmark,Manufacturing,2019,14,True
Denmark,Manufacturing,2021,1,True
Denmark,Hardware,2023,20,True
Finland,Other,2024,669,False
Finland,Hardware,2020,111,True
France,Computer Vision,2022,115,True
Israel,Cyber Security,2020,93,True
Japan,Privacy and Security,2020,26,True
Netherlands,Media and Entertainment,2015,2,True
Netherlands,Energy and natural resources,2020,2,True
Netherlands,Professional services,2016,4,True
Saudi Arabia,General purpose,2016,56,True
Turkey,Hardware,2021,15,True
Malaysia,Information Technology,2020,8,True
Australia,Agriculture,2017,2,True
Singapore,Real estate,2021,10,True
Brazil,NLP,2016,0,True
Chile,"Sales, retail, commerce, marketing",2021,3,True
Germany,Navigation and mapping,2016,3,True
Lithuania,Data and analytics,2016,0,True
Lithuania,Data and analytics,2017,1,True
Poland,Hardware,2020,7,True
Romania,Data and analytics,2017,0,True
Taiwan,Information Technology,2019,65,True
Vietnam,Software,2017,0,True
Tanzania,Education,2017,0,True
Finland,Agriculture,2021,3,True
Malta,"Mobile, platforms & Internet services",2018,0,True
Bangladesh,All,2021,0,True
Japan,Semiconductor,2020,1,True
Singapore,Education,2019,2,True
Turkey,Media and Entertainment,2023,1,True
Bangladesh,Hardware,2019,0,True
United Arab Emirates,Other,2024,3,False
Kazakhstan,Data and analytics,2023,3,True
Romania,Finance,2019,1,True
Tunisia,Software,2024,2,False
Tunisia,Privacy and Security,2021,0,True
Bahrain,Cyber Security,2021,0,True
Bahrain,Information Technology,2020,0,True
Bahrain,Facial Recognition,2022,0,True
Lithuania,Other,2023,0,True
Philippines,Lending and Investments,2022,4,True
Latvia,NLP,2021,0,True
Paraguay,Sports,2021,0,True
Senegal,Data and analytics,2021,0,True
United Arab Emirates,Gaming,2024,3,False
Lithuania,Education,2021,0,True
Azerbaijan,General purpose,2022,0,True
Norway,Cyber Security,2022,0,True
Morocco,Software,2022,0,True
Kazakhstan,Privacy and Security,2023,1,True
Malaysia,Energy and natural resources,2024,59,False
United Arab Emirates,Energy and natural resources,2018,1,True
United Arab Emirates,Energy and natural resources,2024,188,False
United Arab Emirates,Computer Vision,2020,2,True
United Arab Emirates,Real estate,2022,3,True
Austria,Transportation,2014,1,True
Austria,Media and Entertainment,2017,0,True
Austria,Media and Entertainment,2023,2,True
Belgium,Transportation,2019,0,True
Belgium,Lending and Investments,2020,4,True
Bangladesh,Healthcare and Life Sciences,2023,0,True
Bangladesh,"Mobile, platforms & Internet services",2023,0,True
Bulgaria,Computer Vision,2023,0,True
Bosnia and Herzegovina,General purpose,2020,0,True
Bosnia and Herzegovina,Data and analytics,2016,0,True
Bosnia and Herzegovina,Data and analytics,2023,0,True
Belarus,General purpose,2020,1,True
Brazil,Privacy and Security,2021,38,True
Brazil,Lending and Investments,2020,3,True
Canada,Semiconductor,2022,1,True
Canada,"Military, public safety and government",2020,6,True
Switzerland,NLP,2019,0,True
Chile,Real estate,2018,0,True
Chile,Media and Entertainment,2020,3,True
Chile,Community and Lifestyle,2020,8,True
Chile,Transportation,2018,1,True
Colombia,Speech Recognition,2022,1,True
Colombia,Other,2024,0,False
Cayman Islands (the),Other,2018,5,True
Cayman Islands (the),General purpose,2019,0,True
Czechia,Finance,2022,18,True
Czechia,Finance,2023,6,True
Germany,Semiconductor,2022,2,True
Denmark,Consumer goods,2017,1,True
Denmark,Finance,2016,1,True
Ecuador,All,2021,0,True
Egypt,Information Technology,2019,0,True
Spain,Navigation and mapping,2023,0,True
Estonia,Media and Entertainment,2019,4,True
France,"Military, public safety and government",2024,4,False
United Kingdom,Simulation,2023,10,True
Ghana,Education,2021,1,True
Croatia,Transportation,2018,3,True
Croatia,Robotics,2018,3,True
Hungary,Gaming,2019,1,True
Indonesia,"Sales, retail, commerce, marketing",2018,20,True
Ireland,Agriculture,2020,0,True
Ireland,Finance,2018,24,True
Ireland,Manufacturing,2021,7,True
Iceland,Hardware,2014,0,True
Israel,Education,2020,1,True
Italy,Sports,2019,0,True
Italy,Biotechnology,2021,31,True
Kazakhstan,"Mobile, platforms & Internet services",2020,1,True
Kenya,Education,2021,2,True
Kenya,Consumer goods,2024,0,False
Kenya,Lending and Investments,2021,0,True
Lebanon,Software,2022,0,True
Lebanon,Information Technology,2017,0,True
Sri Lanka,Data and analytics,2021,0,True
Sri Lanka,General purpose,2018,2,True
Sri Lanka,Robotics,2019,1,True
Lithuania,Finance,2020,2,True
Lithuania,"Sales, retail, commerce, marketing",2020,2,True
Luxembourg,All,2018,8,True
Luxembourg,All,2020,423,True
Luxembourg,Energy and natural resources,2024,0,False
Luxembourg,Media and Entertainment,2020,412,True
Mexico,Transportation,2019,2,True
Mauritius,Data and analytics,2021,21,True
Nigeria,Lending and Investments,2019,8,True
New Zealand,Professional services,2020,35,True
New Zealand,Finance,2022,0,True
New Zealand,"Mobile, platforms & Internet services",2022,5,True
New Zealand,Community and Lifestyle,2021,161,True
New Zealand,Manufacturing,2017,0,True
Pakistan,Data and analytics,2021,4,True
Philippines,All,2022,18,True
Poland,Other,2022,2,True
Puerto Rico,Hardware,2018,0,True
Portugal,Real estate,2016,2,True
Portugal,Media and Entertainment,2020,0,True
Romania,General purpose,2024,6,False
Romania,Energy and natural resources,2024,1,False
Russia,Healthcare and Life Sciences,2016,3,True
Saudi Arabia,Healthcare and Life Sciences,2024,1,False
Saudi Arabia,Transportation,2019,0,True
Singapore,Sports,2018,1,True
Serbia,Software,2024,43,False
Slovakia,Education,2015,0,True
Sweden,Gaming,2016,0,True
Sweden,Gaming,2024,0,False
Sweden,NLP,2016,0,True
Sweden,Consumer goods,2015,2,True
Seychelles,Software,2016,0,True
Thailand,Finance,2016,0,True
Thailand,All,2016,1,True
Turkey,Real estate,2024,0,False
Turkey,Healthcare and Life Sciences,2018,0,True
Taiwan,"Mobile, platforms & Internet services",2024,36,False
Uganda,Software,2020,0,True
Uganda,Information Technology,2019,0,True
Ukraine,Consumer goods,2022,0,True
Vietnam,"Sales, retail, commerce, marketing",2021,8,True
South Africa,Community and Lifestyle,2019,0,True
Zambia,Data and analytics,2023,0,True
Zambia,Software,2019,1,True
Slovenia,Software,2017,5,True
Australia,Information Technology,2019,73,True
Australia,Data and analytics,2020,227,True
Australia,Real estate,2022,47,True
Australia,Transportation,2021,399,True
Australia,Transportation,2023,25,True
Australia,Consumer goods,2015,0,True
Australia,Hardware,2018,15,True
Australia,Healthcare and Life Sciences,2023,30,True
Austria,Software,2021,229,True
Austria,Information Technology,2016,3,True
Brazil,Agriculture,2020,2,True
Brazil,Data and analytics,2022,575,True
Canada,Manufacturing,2020,67,True
Canada,Finance,2019,53,True
Canada,Computer Vision,2022,12,True
Canada,Healthcare and Life Sciences,2024,33,False
Canada,Lending and Investments,2014,1,True
Canada,Privacy and Security,2022,244,True
Canada,Energy and natural resources,2017,7,True
Canada,Real estate,2021,25,True
Switzerland,Computer Vision,2019,71,True
Switzerland,Biotechnology,2016,0,True
Chile,General purpose,2023,5,True
Chile,Software,2015,0,True
Chile,Software,2016,1,True
China (mainland),NLP,2021,132,True
China (mainland),Education,2021,91,True
China (mainland),Education,2022,150,True
China (mainland),Transportation,2022,1233,True
China (mainland),Biotechnology,2024,228,False
China (mainland),Computer Vision,2023,56,True
China (mainland),Healthcare and Life Sciences,2021,672,True
Colombia,All,2014,0,True
Czechia,All,2019,34,True
Germany,Consumer goods,2018,58,True
Germany,Real estate,2014,1,True
Germany,"Sales, retail, commerce, marketing",2019,34,True
Spain,Other,2020,5,True
Spain,"Sales, retail, commerce, marketing",2016,11,True
Spain,Professional services,2014,0,True
Estonia,General purpose,2014,1,True
Estonia,Data and analytics,2022,57,True
Estonia,Data and analytics,2024,26,False
Finland,"Mobile, platforms & Internet services",2016,1,True
France,Privacy and Security,2020,8,True
France,Privacy and Security,2022,35,True
France,General purpose,2020,1505,True
France,Manufacturing,2020,11,True
France,Hardware,2016,14,True
United Kingdom,Navigation and mapping,2020,66,True
United Kingdom,Telecommunications,2016,202,True
United Kingdom,Lending and Investments,2017,73,True
United Kingdom,"Mobile, platforms & Internet services",2017,297,True
Hungary,General purpose,2022,11,True
India,Data and analytics,2017,105,True
India,Consumer goods,2023,2470,True
Ireland,Data and analytics,2016,182,True
Ireland,Hardware,2018,34,True
Iceland,All,2017,3,True
Israel,Professional services,2016,6,True
Israel,NLP,2021,9,True
Israel,Robotics,2021,17,True
Italy,Information Technology,2022,12,True
Italy,Data and analytics,2018,237,True
Italy,Data and analytics,2024,70,False
Italy,"Sales, retail, commerce, marketing",2019,3,True
Japan,Professional services,2018,98,True
Japan,Media and Entertainment,2018,24,True
Japan,Information Technology,2019,153,True
Japan,General purpose,2014,47,True
South Korea,Community and Lifestyle,2022,15,True
South Korea,Media and Entertainment,2020,343,True
Latvia,Data and analytics,2020,0,True
Netherlands,Healthcare and Life Sciences,2019,9,True
New Zealand,General purpose,2022,84,True
Poland,All,2017,63,True
Poland,All,2023,127,True
Poland,"Sales, retail, commerce, marketing",2014,2,True
Poland,"Sales, retail, commerce, marketing",2024,4,False
Portugal,Other,2020,0,True
Russia,Information Technology,2015,1,True
Singapore,Healthcare and Life Sciences,2023,208,True
Singapore,Information Technology,2023,384,True
Singapore,Cyber Security,2023,4,True
Singapore,Professional services,2017,36,True
Sweden,Healthcare and Life Sciences,2016,1,True
Ukraine,Software,2015,0,True
United States,Privacy and Security,2021,10354,True
United States,Sports,2024,604,False
United States,Education,2019,1941,True
United States,Computer Vision,2017,429,True
United States,Lending and Investments,2018,242,True
United States,General purpose,2018,23813,True
South Africa,Data and analytics,2015,18,True
South Africa,"Mobile, platforms & Internet services",2017,22,True
South Africa,Software,2024,62,False
Brazil,Education,2015,1,True
Germany,Energy and natural resources,2018,23,True
India,Gaming,2022,16,True
South Korea,Navigation and mapping,2017,1,True
Peru,All,2015,0,True
Austria,Energy and natural resources,2024,45,False
Canada,Gaming,2017,0,True
Canada,Gaming,2020,41,True
Germany,Education,2023,25,True
Romania,All,2019,4,True
United Arab Emirates,All,2015,1,True
United Arab Emirates,"Mobile, platforms & Internet services",2021,805,True
United Arab Emirates,"Mobile, platforms & Internet services",2022,164,True
Australia,Education,2023,3,True
Australia,Media and Entertainment,2023,67,True
Austria,Healthcare and Life Sciences,2022,3,True
Switzerland,Other,2019,7,True
Germany,Telecommunications,2016,90,True
Denmark,Software,2016,13,True
Denmark,"Mobile, platforms & Internet services",2021,5,True
Spain,Biotechnology,2021,25,True
Finland,Hardware,2024,31,False
Indonesia,All,2021,186,True
Japan,Privacy and Security,2016,30,True
South Korea,Finance,2019,8,True
Netherlands,Media and Entertainment,2019,3,True
Saudi Arabia,General purpose,2021,34,True
Sweden,Finance,2023,7,True
Turkey,Computer Vision,2022,1,True
Chile,Energy and natural resources,2023,2,True
Croatia,Software,2016,3,True
Malaysia,Information Technology,2023,21,True
Thailand,General purpose,2015,0,True
Thailand,Data and analytics,2019,4,True
Finland,Real estate,2015,16,True
Hungary,Biotechnology,2024,4,False
South Africa,Hardware,2024,53,False
Egypt,All,2022,9,True
Kenya,All,2022,45,True
Kenya,Finance,2016,1,True
South Korea,Transportation,2017,5,True
Lithuania,General purpose,2024,4,False
Nigeria,All,2024,17,False
Singapore,Lending and Investments,2017,7,True
Vietnam,Software,2019,3,True
Belgium,Computer Vision,2021,0,True
Chile,Other,2017,53,True
Denmark,Agriculture,2017,0,True
France,Sports,2017,2,True
India,Cyber Security,2019,0,True
Israel,Semiconductor,2019,19,True
South Africa,General purpose,2023,19,True
Cambodia,Data and analytics,2018,0,True
Bangladesh,All,2018,0,True
Estonia,Transportation,2020,0,True
Indonesia,Finance,2020,1,True
Malaysia,"Sales, retail, commerce, marketing",2024,9,False
Tunisia,All,2018,1,True
Denmark,Computer Vision,2022,0,True
Estonia,"Mobile, platforms & Internet services",2019,5,True
South Korea,Semiconductor,2024,12,False
Latvia,Media and Entertainment,2021,0,True
Egypt,Media and Entertainment,2020,0,True
Kazakhstan,Education,2020,0,True
Bahrain,Cyber Security,2020,0,True
Dominican Republic,General purpose,2020,0,True
Cyprus,Telecommunications,2021,1,True
Colombia,Consumer goods,2023,3,True
Senegal,Consumer goods,2023,0,True
United Arab Emirates,Privacy and Security,2022,1,True
Peru,Computer Vision,2022,0,True
Seychelles,"Mobile, platforms & Internet services",2022,5,True
Georgia,All,2023,0,True
Nigeria,Healthcare and Life Sciences,2022,0,True
Chile,Navigation and mapping,2023,0,True
Sri Lanka,Telecommunications,2023,0,True
Uganda,Healthcare and Life Sciences,2023,0,True
Kazakhstan,Media and Entertainment,2024,0,False
Lithuania,"Military, public safety and government",2024,0,False
United Arab Emirates,NLP,2017,1,True
United Arab Emirates,Finance,2016,0,True
Australia,Speech Recognition,2018,7,True
Australia,Gaming,2022,1,True
Belgium,Professional services,2020,83,True
Bulgaria,Software,2024,4,False
Bosnia and Herzegovina,Other,2024,0,False
Belarus,Data and analytics,2017,8,True
Belarus,Hardware,2016,2,True
Brazil,Real estate,2020,8,True
Canada,Sports,2020,37,True
Chile,Gaming,2021,0,True
Chile,Consumer goods,2019,1,True
China (mainland),Simulation,2017,4,True
China (mainland),Cyber Security,2020,25,True
China (mainland),Cyber Security,2022,29,True
Colombia,"Mobile, platforms & Internet services",2018,0,True
Colombia,"Sales, retail, commerce, marketing",2022,1,True
Cayman Islands (the),"Sales, retail, commerce, marketing",2022,3,True
Cayman Islands (the),Information Technology,2017,2,True
Cyprus,"Mobile, platforms & Internet services",2021,4,True
Cyprus,Media and Entertainment,2019,0,True
Czechia,Healthcare and Life Sciences,2019,0,True
Czechia,NLP,2024,1,False
Czechia,Transportation,2021,1,True
Denmark,Lending and Investments,2023,0,True
Denmark,Biotechnology,2023,29,True
Egypt,Transportation,2019,0,True
Egypt,Community and Lifestyle,2018,0,True
Finland,Lending and Investments,2018,1,True
Finland,Energy and natural resources,2019,1,True
France,Semiconductor,2021,98,True
France,"Military, public safety and government",2018,1,True
Greece,"Mobile, platforms & Internet services",2018,1,True
Hungary,Other,2020,1,True
Hungary,Finance,2021,1,True
Hungary,Transportation,2018,4,True
Ireland,Consumer goods,2020,12,True
Ireland,Gaming,2017,1,True
Italy,Sports,2021,2,True
Italy,Professional services,2018,2,True
Jordan,"Mobile, platforms & Internet services",2019,1,True
Jordan,Community and Lifestyle,2016,0,True
Japan,Lending and Investments,2017,1,True
Japan,Telecommunications,2017,3,True
Kazakhstan,Healthcare and Life Sciences,2020,0,True
Lebanon,Media and Entertainment,2016,0,True
Sri Lanka,Hardware,2019,1,True
Sri Lanka,Robotics,2017,2,True
Lithuania,Finance,2024,100,False
Lithuania,Gaming,2023,33,True
Lithuania,Computer Vision,2019,1,True
Luxembourg,Data and analytics,2022,1,True
Mexico,Education,2023,2,True
Mongolia,Other,2018,0,True
Malaysia,Transportation,2016,2,True
Nigeria,Hardware,2021,0,True
Netherlands,"Military, public safety and government",2022,2,True
New Zealand,Community and Lifestyle,2023,13,True
Pakistan,Other,2020,0,True
Peru,Education,2019,1,True
Poland,Other,2021,25,True
Poland,Other,2023,4,True
Portugal,Real estate,2014,1,True
Portugal,Agriculture,2014,0,True
Romania,"Mobile, platforms & Internet services",2022,5,True
Saudi Arabia,Media and Entertainment,2024,2,False
Singapore,Agriculture,2024,1,False
Slovakia,Transportation,2021,0,True
Slovakia,"Mobile, platforms & Internet services",2020,1,True
Slovakia,General purpose,2015,2,True
Slovakia,Hardware,2023,1,True
Slovakia,"Military, public safety and government",2023,1,True
Slovenia,Privacy and Security,2014,0,True
Sweden,Lending and Investments,2022,4,True
Seychelles,Software,2015,0,True
Seychelles,Privacy and Security,2015,0,True
Thailand,Information Technology,2018,0,True
Tunisia,Finance,2023,0,True
Turkey,Transportation,2023,5,True
Turkey,Community and Lifestyle,2020,0,True
Turkey,Education,2019,0,True
Taiwan,Finance,2021,24,True
Ukraine,Other,2022,0,True
Ukraine,Information Technology,2021,3,True
Ukraine,"Mobile, platforms & Internet services",2021,3,True
Ukraine,NLP,2022,0,True
Vietnam,Information Technology,2020,1,True
Vietnam,Education,2023,0,True
Slovenia,General purpose,2020,1,True
Australia,All,2022,1089,True
Australia,Computer Vision,2020,1,True
Australia,Real estate,2023,1,True
Australia,Hardware,2019,39,True
Austria,Software,2022,263,True
Belgium,Data and analytics,2014,6,True
Belgium,All,2021,995,True
Brazil,Finance,2023,11,True
Brazil,Professional services,2024,74,False
Canada,Manufacturing,2017,11,True
Canada,Other,2022,2961,True
Canada,Privacy and Security,2019,73,True
Canada,"Mobile, platforms & Internet services",2023,256,True
Canada,Software,2021,1505,True
Canada,"Sales, retail, commerce, marketing",2015,21,True
Switzerland,Computer Vision,2015,369,True
Switzerland,Media and Entertainment,2019,71,True
Chile,Software,2021,35,True
China (mainland),All,2023,10256,True
China (mainland),Media and Entertainment,2023,161,True
China (mainland),Education,2016,184,True
China (mainland),Transportation,2018,1067,True
China (mainland),Transportation,2023,1907,True
China (mainland),"Mobile, platforms & Internet services",2014,373,True
Cyprus,Software,2014,1,True
Cyprus,Software,2021,22,True
Cyprus,All,2016,1,True
Czechia,"Sales, retail, commerce, marketing",2015,1,True
Germany,Professional services,2022,197,True
Germany,Privacy and Security,2017,15,True
Germany,Healthcare and Life Sciences,2024,151,False
Germany,Real estate,2015,10,True
Spain,All,2014,75,True
Spain,Manufacturing,2014,46,True
Spain,Professional services,2024,153,False
Spain,General purpose,2016,56,True
Spain,"Mobile, platforms & Internet services",2016,12,True
Spain,"Mobile, platforms & Internet services",2024,48,False
Spain,Healthcare and Life Sciences,2024,25,False
Finland,"Mobile, platforms & Internet services",2015,86,True
Finland,"Sales, retail, commerce, marketing",2020,5,True
Finland,All,2020,960,True
Finland,All,2022,2186,True
Finland,Software,2019,1581,True
France,Other,2020,666,True
France,Real estate,2024,5,False
United Kingdom,Sports,2017,11,True
United Kingdom,Information Technology,2023,1624,True
United Kingdom,Community and Lifestyle,2014,7,True
United Kingdom,Computer Vision,2017,14,True
United Kingdom,Other,2019,167,True
Hungary,Data and analytics,2018,6,True
India,General purpose,2017,88,True
India,Other,2014,40,True
India,Media and Entertainment,2016,16,True
India,Media and Entertainment,2021,20,True
India,Data and analytics,2022,2257,True
India,Finance,2014,3,True
India,Real estate,2023,7,True
Ireland,Professional services,2015,0,True
Ireland,All,2021,634,True
Ireland,"Sales, retail, commerce, marketing",2021,30,True
Ireland,General purpose,2016,181,True
Israel,Software,2019,764,True
Israel,Software,2021,3221,True
Israel,Healthcare and Life Sciences,2020,170,True
Israel,"Mobile, platforms & Internet services",2017,60,True
Israel,General purpose,2016,245,True
Israel,Media and Entertainment,2018,63,True
Italy,Hardware,2015,0,True
Japan,Professional services,2020,115,True
Japan,Robotics,2017,138,True
Japan,Biotechnology,2024,4,False
Japan,General purpose,2022,798,True
Japan,Finance,2017,4,True
Japan,Education,2015,2,True
Japan,Education,2021,123,True
Japan,Manufacturing,2015,8,True
South Korea,Information Technology,2022,305,True
Mexico,Data and analytics,2014,2,True
Mexico,Software,2023,102,True
Netherlands,Software,2017,336,True
Netherlands,Other,2014,0,True
Norway,All,2014,284,True
Norway,All,2016,15,True
Norway,Data and analytics,2021,300,True
Norway,Data and analytics,2023,134,True
New Zealand,Data and analytics,2022,85,True
Poland,"Mobile, platforms & Internet services",2024,5,False
Poland,Software,2022,116,True
Poland,"Sales, retail, commerce, marketing",2022,44,True
Portugal,General purpose,2015,7,True
Portugal,Other,2021,4,True
Portugal,Software,2021,94,True
Portugal,Hardware,2021,8,True
Russia,All,2021,24,True
Saudi Arabia,Software,2021,66,True
Saudi Arabia,Data and analytics,2015,1,True
Singapore,Community and Lifestyle,2014,2,True
Slovakia,Software,2024,9,False
Sweden,General purpose,2024,87,False
Sweden,Transportation,2014,10,True
Sweden,Transportation,2024,4,False
