country,field,year,num_patent_applications,complete
Russia,Security,2019,18,True
Sweden,Personal Devices and Computing,2018,8,True
Singapore,Personal Devices and Computing,2021,2,False
Singapore,Industry and Manufacturing,2015,3,True
Singapore,Telecommunications,2014,5,True
Singapore,Telecommunications,2018,41,True
Turkey,Business,2019,3,True
Taiwan,Business,2022,11,False
Taiwan,Banking and Finance,2017,4,True
Taiwan,Energy Management,2017,4,True
Ukraine,Personal Devices and Computing,2022,0,False
Ukraine,Life Sciences,2014,0,True
Ukraine,All,2017,2,True
United States,All,2015,3947,True
South Africa,Telecommunications,2018,1,True
Estonia,Banking and Finance,2022,0,False
Oman,Banking and Finance,2016,0,True
Latvia,Life Sciences,2017,0,True
Uruguay,Telecommunications,2020,0,False
Slovakia,Energy Management,2021,0,False
Tunisia,Energy Management,2020,0,False
Philippines,Security,2016,0,True
Czechia,Physical Sciences and Engineering,2019,0,True
Chile,Business,2017,0,True
Serbia,Energy Management,2015,0,True
Ukraine,Telecommunications,2016,0,True
Ukraine,Energy Management,2017,0,True
Argentina,Transportation,2022,0,False
Austria,Telecommunications,2014,0,True
Austria,Banking and Finance,2017,0,True
Austria,Physical Sciences and Engineering,2015,1,True
Australia,Telecommunications,2017,51,True
Australia,Telecommunications,2019,111,True
Australia,Telecommunications,2021,209,False
Australia,All,2021,1428,False
Australia,Personal Devices and Computing,2017,123,True
Belgium,Transportation,2022,1,False
Belgium,Life Sciences,2021,1,False
Brazil,Personal Devices and Computing,2021,25,False
Brazil,Physical Sciences and Engineering,2017,9,True
Brazil,Physical Sciences and Engineering,2018,20,True
Canada,Physical Sciences and Engineering,2019,60,True
Switzerland,Telecommunications,2018,2,True
Chile,Industry and Manufacturing,2018,0,True
China (mainland),All,2017,14819,True
China (mainland),Business,2020,7717,False
China (mainland),Physical Sciences and Engineering,2022,2898,False
Czechia,All,2023,3,False
Czechia,Industry and Manufacturing,2022,0,False
Germany,Transportation,2014,40,True
Germany,Life Sciences,2015,26,True
Denmark,Industry and Manufacturing,2015,2,True
Spain,Telecommunications,2022,3,False
Finland,Telecommunications,2022,8,False
France,Physical Sciences and Engineering,2015,4,True
France,Physical Sciences and Engineering,2022,4,False
France,Industry and Manufacturing,2023,1,False
France,Personal Devices and Computing,2016,25,True
United Kingdom,Life Sciences,2024,0,False
United Kingdom,Telecommunications,2017,49,True
Greece,Energy Management,2020,1,False
Greece,Banking and Finance,2019,0,True
Hungary,Banking and Finance,2015,0,True
Hungary,Security,2018,0,True
Hungary,Energy Management,2014,0,True
Israel,Business,2019,3,True
Israel,Transportation,2022,4,False
India,Telecommunications,2018,40,True
Italy,All,2021,94,False
Italy,All,2022,31,False
Japan,Physical Sciences and Engineering,2015,27,True
Japan,Banking and Finance,2017,70,True
Japan,Business,2014,45,True
Japan,Telecommunications,2018,436,True
South Korea,All,2021,9641,False
South Korea,Life Sciences,2022,836,False
Lithuania,Security,2020,1,False
Lithuania,Transportation,2014,0,True
Lithuania,Personal Devices and Computing,2022,0,False
Lithuania,Business,2016,0,True
Morocco,Physical Sciences and Engineering,2015,0,True
Morocco,Banking and Finance,2021,0,False
Mexico,Transportation,2016,26,True
Mexico,Industry and Manufacturing,2019,15,True
Mexico,Industry and Manufacturing,2020,15,False
Malaysia,Banking and Finance,2016,0,True
Malaysia,Industry and Manufacturing,2017,0,True
Netherlands,All,2016,6,True
Netherlands,Life Sciences,2014,1,True
Netherlands,Industry and Manufacturing,2017,0,True
Norway,Energy Management,2018,0,True
Peru,Industry and Manufacturing,2022,0,False
Philippines,Banking and Finance,2015,1,True
Poland,Business,2019,1,True
Poland,Telecommunications,2016,3,True
Romania,Physical Sciences and Engineering,2016,0,True
Russia,Security,2015,4,True
Sweden,Personal Devices and Computing,2017,3,True
Sweden,Business,2021,2,False
Sweden,All,2017,11,True
Singapore,Banking and Finance,2019,23,True
Singapore,Personal Devices and Computing,2017,52,True
Singapore,Life Sciences,2021,0,False
Slovenia,Banking and Finance,2018,0,True
Turkey,Life Sciences,2017,2,True
Taiwan,Security,2016,2,True
Ukraine,Life Sciences,2016,0,True
United States,Life Sciences,2014,444,True
United States,Business,2014,488,True
South Africa,All,2017,3,True
Indonesia,Industry and Manufacturing,2016,0,True
Latvia,Banking and Finance,2020,0,False
Latvia,Physical Sciences and Engineering,2020,0,False
Latvia,Business,2017,0,True
Uruguay,Banking and Finance,2017,0,True
Uruguay,Business,2020,0,False
Tunisia,Personal Devices and Computing,2022,0,False
Philippines,Energy Management,2016,0,True
Czechia,Security,2017,0,True
Chile,Energy Management,2021,0,False
Romania,Transportation,2019,0,True
Ukraine,Security,2021,0,False
Ukraine,Physical Sciences and Engineering,2021,0,False
Oman,All,2016,1,True
Argentina,Life Sciences,2016,0,True
Argentina,Industry and Manufacturing,2020,0,False
Argentina,Physical Sciences and Engineering,2022,6,False
Argentina,Energy Management,2016,0,True
Argentina,Energy Management,2018,0,True
Argentina,Transportation,2019,1,True
Australia,Physical Sciences and Engineering,2015,15,True
Australia,Transportation,2020,52,False
Belgium,Transportation,2016,0,True
Belgium,Transportation,2020,0,False
Brazil,Energy Management,2014,3,True
Canada,Physical Sciences and Engineering,2015,23,True
Switzerland,Energy Management,2020,0,False
Switzerland,Personal Devices and Computing,2019,1,True
China (mainland),Transportation,2016,327,True
China (mainland),Business,2021,10031,False
China (mainland),Physical Sciences and Engineering,2017,333,True
China (mainland),Physical Sciences and Engineering,2019,1063,True
Colombia,Industry and Manufacturing,2015,2,True
Germany,Physical Sciences and Engineering,2016,8,True
Germany,Transportation,2020,191,False
Denmark,Personal Devices and Computing,2014,1,True
Denmark,Energy Management,2015,2,True
Spain,All,2015,41,True
Finland,Security,2014,1,True
Finland,Industry and Manufacturing,2020,3,False
France,Transportation,2022,21,False
France,Personal Devices and Computing,2019,86,True
United Kingdom,Physical Sciences and Engineering,2018,36,True
United Kingdom,Telecommunications,2021,85,False
Greece,Industry and Manufacturing,2021,1,False
Greece,Energy Management,2019,1,True
Greece,Security,2016,0,True
Greece,Banking and Finance,2016,0,True
Hong Kong,All,2017,1,True
Hong Kong,All,2018,14,True
Hungary,Industry and Manufacturing,2014,0,True
Hungary,All,2014,1,True
Hungary,Physical Sciences and Engineering,2019,1,True
Hungary,Business,2018,0,True
Israel,Physical Sciences and Engineering,2022,1,False
India,All,2022,1,False
India,Physical Sciences and Engineering,2022,0,False
India,Security,2014,4,True
India,Security,2019,2,True
Japan,Banking and Finance,2014,11,True
South Korea,Security,2021,571,False
South Korea,Banking and Finance,2020,299,False
South Korea,Life Sciences,2014,69,True
South Korea,Telecommunications,2018,765,True
South Korea,Telecommunications,2021,1561,False
Lithuania,Security,2016,1,True
Luxembourg,Security,2023,3,False
Morocco,Transportation,2014,0,True
Mexico,Business,2016,18,True
Mexico,Security,2015,0,True
Mexico,Transportation,2015,15,True
Mexico,Energy Management,2022,0,False
Mexico,Telecommunications,2016,13,True
Malaysia,Energy Management,2014,1,True
Netherlands,Telecommunications,2023,1,False
Netherlands,Security,2023,0,False
Netherlands,Personal Devices and Computing,2019,8,True
Netherlands,Business,2015,0,True
Netherlands,Transportation,2015,0,True
Netherlands,Energy Management,2014,0,True
Norway,Energy Management,2016,0,True
Norway,Telecommunications,2019,1,True
Norway,Banking and Finance,2014,0,True
New Zealand,Transportation,2014,0,True
New Zealand,Banking and Finance,2019,0,True
New Zealand,Banking and Finance,2020,0,False
New Zealand,Industry and Manufacturing,2015,2,True
New Zealand,Life Sciences,2020,0,False
Peru,Business,2020,3,False
Philippines,Business,2017,1,True
Philippines,Telecommunications,2015,1,True
Philippines,Physical Sciences and Engineering,2018,0,True
Poland,Physical Sciences and Engineering,2017,2,True
Poland,Physical Sciences and Engineering,2018,1,True
Poland,All,2019,18,True
Poland,Security,2018,1,True
Poland,Security,2023,0,False
Portugal,Security,2018,1,True
Portugal,Energy Management,2021,0,False
Portugal,Personal Devices and Computing,2017,2,True
Portugal,Industry and Manufacturing,2014,0,True
Portugal,Physical Sciences and Engineering,2016,1,True
Romania,Energy Management,2019,0,True
Serbia,Business,2014,0,True
Russia,Personal Devices and Computing,2015,44,True
Russia,Industry and Manufacturing,2018,7,True
Sweden,Security,2014,0,True
Sweden,All,2015,6,True
Singapore,Banking and Finance,2018,19,True
Singapore,Physical Sciences and Engineering,2019,3,True
Slovenia,Physical Sciences and Engineering,2016,0,True
Taiwan,Business,2019,14,True
Taiwan,Telecommunications,2021,49,False
Taiwan,Industry and Manufacturing,2021,20,False
United States,Telecommunications,2021,2446,False
Cuba,Business,2020,0,False
Thailand,Banking and Finance,2017,0,True
Jordan,Transportation,2021,0,False
Latvia,Banking and Finance,2017,0,True
Hong Kong,Industry and Manufacturing,2017,0,True
Hong Kong,Industry and Manufacturing,2019,0,True
Ireland,Security,2022,0,False
Colombia,Energy Management,2021,0,False
Czechia,Energy Management,2023,0,False
Bulgaria,Security,2021,0,False
Bulgaria,Security,2022,0,False
Chile,Business,2021,0,False
Romania,Industry and Manufacturing,2016,0,True
Serbia,Energy Management,2017,0,True
Cuba,Energy Management,2020,1,False
Argentina,Banking and Finance,2017,0,True
Austria,Personal Devices and Computing,2022,2,False
Austria,Security,2015,0,True
Austria,Security,2022,2,False
Australia,Banking and Finance,2021,57,False
Australia,Personal Devices and Computing,2016,121,True
Bulgaria,All,2020,12,False
Brazil,Security,2015,1,True
Brazil,Industry and Manufacturing,2019,12,True
Brazil,Personal Devices and Computing,2017,25,True
Brazil,Banking and Finance,2020,6,False
Brazil,Business,2021,13,False
Canada,Telecommunications,2018,118,True
Canada,All,2022,89,False
Canada,Security,2017,30,True
Switzerland,Banking and Finance,2019,0,True
Chile,Telecommunications,2017,0,True
China (mainland),All,2022,92929,False
China (mainland),Personal Devices and Computing,2019,18993,True
Czechia,Telecommunications,2023,0,False
Germany,Industry and Manufacturing,2021,93,False
Denmark,Life Sciences,2017,10,True
Spain,Banking and Finance,2018,2,True
Spain,Security,2023,0,False
Finland,Physical Sciences and Engineering,2020,2,False
United Kingdom,Transportation,2022,46,False
United Kingdom,Business,2023,7,False
Greece,Physical Sciences and Engineering,2020,1,False
Greece,Physical Sciences and Engineering,2022,0,False
Hong Kong,Personal Devices and Computing,2019,0,True
Hong Kong,Physical Sciences and Engineering,2017,0,True
Hungary,All,2016,6,True
Hungary,Energy Management,2020,0,False
Israel,Business,2020,2,False
India,Telecommunications,2017,53,True
Italy,Business,2022,0,False
Japan,Industry and Manufacturing,2015,49,True
South Korea,Energy Management,2017,123,True
South Korea,Physical Sciences and Engineering,2023,4,False
Lithuania,Industry and Manufacturing,2014,1,True
Lithuania,Security,2022,0,False
Lithuania,Transportation,2022,0,False
Lithuania,Telecommunications,2018,1,True
Luxembourg,Industry and Manufacturing,2017,0,True
Luxembourg,Industry and Manufacturing,2021,3,False
Morocco,Telecommunications,2019,3,True
Morocco,Business,2015,1,True
Mexico,Security,2017,4,True
Netherlands,Personal Devices and Computing,2017,1,True
Norway,Personal Devices and Computing,2016,1,True
Norway,Industry and Manufacturing,2017,0,True
Norway,Banking and Finance,2019,1,True
New Zealand,Physical Sciences and Engineering,2018,1,True
Peru,Transportation,2020,1,False
Philippines,Business,2019,0,True
Philippines,Physical Sciences and Engineering,2019,0,True
Poland,Industry and Manufacturing,2017,1,True
Poland,Telecommunications,2019,9,True
Poland,Telecommunications,2021,0,False
Poland,Security,2021,1,False
Portugal,Security,2016,1,True
Portugal,Life Sciences,2016,2,True
Romania,Physical Sciences and Engineering,2015,1,True
Russia,Telecommunications,2016,30,True
Sweden,Security,2016,0,True
Sweden,Telecommunications,2022,2,False
Sweden,Banking and Finance,2016,3,True
Sweden,Industry and Manufacturing,2017,1,True
Sweden,Business,2023,0,False
Sweden,All,2016,12,True
Singapore,Personal Devices and Computing,2015,16,True
Slovenia,Business,2015,1,True
Turkey,Personal Devices and Computing,2016,0,True
Turkey,Security,2019,0,True
Taiwan,Life Sciences,2021,80,False
Taiwan,Energy Management,2016,5,True
Ukraine,All,2023,2,False
United States,Telecommunications,2018,3192,True
South Africa,Telecommunications,2022,0,False
South Africa,Energy Management,2016,0,True
Latvia,Business,2020,0,False
Saudi Arabia,Telecommunications,2018,0,True
Tunisia,Banking and Finance,2021,0,False
Slovenia,Transportation,2018,0,True
Czechia,Energy Management,2017,0,True
Bulgaria,Banking and Finance,2019,0,True
Romania,Industry and Manufacturing,2015,0,True
Serbia,Energy Management,2020,0,False
Ukraine,Telecommunications,2022,0,False
Ukraine,Energy Management,2022,0,False
Ukraine,Physical Sciences and Engineering,2016,0,True
Hong Kong,Banking and Finance,2019,0,True
Slovenia,Energy Management,2015,0,True
Cuba,Physical Sciences and Engineering,2020,1,False
Argentina,Life Sciences,2021,0,False
Austria,Energy Management,2017,4,True
Austria,Transportation,2020,3,False
Austria,Physical Sciences and Engineering,2014,0,True
Australia,All,2015,127,True
Australia,Transportation,2016,19,True
Belgium,All,2018,8,True
Belgium,Security,2023,0,False
Brazil,All,2016,80,True
Brazil,Physical Sciences and Engineering,2019,16,True
Canada,Telecommunications,2016,62,True
Canada,Telecommunications,2019,140,True
Switzerland,Energy Management,2018,0,True
Chile,Physical Sciences and Engineering,2015,0,True
Chile,Transportation,2017,0,True
Chile,Security,2018,0,True
China (mainland),All,2020,66215,False
Czechia,Industry and Manufacturing,2019,0,True
Germany,Banking and Finance,2019,22,True
Germany,Transportation,2016,104,True
Denmark,Security,2014,0,True
Denmark,Telecommunications,2015,5,True
Spain,Telecommunications,2018,21,True
Spain,Physical Sciences and Engineering,2014,3,True
Spain,Security,2020,3,False
Finland,Physical Sciences and Engineering,2017,0,True
France,Physical Sciences and Engineering,2014,2,True
France,Industry and Manufacturing,2022,7,False
France,All,2017,97,True
United Kingdom,Banking and Finance,2023,2,False
United Kingdom,Security,2020,24,False
United Kingdom,Energy Management,2022,12,False
United Kingdom,Transportation,2020,39,False
United Kingdom,Personal Devices and Computing,2018,163,True
Greece,Business,2018,1,True
Greece,Life Sciences,2017,1,True
Hungary,Industry and Manufacturing,2021,2,False
Hungary,Life Sciences,2022,1,False
Hungary,Business,2015,0,True
Ireland,Life Sciences,2018,0,True
India,Industry and Manufacturing,2020,0,False
India,All,2014,49,True
India,Physical Sciences and Engineering,2017,2,True
India,Physical Sciences and Engineering,2019,0,True
India,Transportation,2022,0,False
Italy,Personal Devices and Computing,2021,22,False
Italy,Physical Sciences and Engineering,2019,3,True
Japan,Security,2017,75,True
Japan,Business,2016,107,True
Lithuania,Industry and Manufacturing,2017,1,True
Luxembourg,Business,2017,0,True
Luxembourg,Business,2022,10,False
Luxembourg,Personal Devices and Computing,2016,2,True
Luxembourg,Security,2018,0,True
Luxembourg,Physical Sciences and Engineering,2023,3,False
Malaysia,All,2015,19,True
Netherlands,Telecommunications,2018,1,True
Netherlands,Business,2018,0,True
Netherlands,Life Sciences,2021,8,False
Norway,Business,2017,0,True
New Zealand,Energy Management,2017,1,True
Philippines,Personal Devices and Computing,2016,1,True
Poland,Energy Management,2018,1,True
Poland,Energy Management,2023,0,False
Romania,Life Sciences,2021,0,False
Serbia,Banking and Finance,2017,0,True
Serbia,Banking and Finance,2018,0,True
Russia,Personal Devices and Computing,2014,27,True
Russia,Physical Sciences and Engineering,2021,2,False
Russia,Telecommunications,2017,31,True
Sweden,All,2020,24,False
Singapore,Industry and Manufacturing,2021,0,False
Singapore,All,2014,37,True
Slovakia,Industry and Manufacturing,2021,2,False
Turkey,Personal Devices and Computing,2020,11,False
Turkey,Telecommunications,2020,7,False
Taiwan,Telecommunications,2020,63,False
Taiwan,Physical Sciences and Engineering,2014,0,True
United States,All,2023,156,False
United States,Transportation,2014,178,True
United States,Life Sciences,2019,1983,True
United States,Energy Management,2019,256,True
South Africa,Physical Sciences and Engineering,2018,0,True
South Africa,Life Sciences,2014,0,True
South Africa,Life Sciences,2023,0,False
South Africa,Banking and Finance,2016,0,True
Brunei Darussalam,Transportation,2014,0,True
Cuba,Banking and Finance,2020,0,False
Kenya,Banking and Finance,2016,0,True
"Moldova, Republic of",Physical Sciences and Engineering,2021,0,False
Oman,Industry and Manufacturing,2016,0,True
Uruguay,Personal Devices and Computing,2020,0,False
Slovakia,Physical Sciences and Engineering,2020,0,False
Tunisia,Banking and Finance,2020,0,False
Bulgaria,Personal Devices and Computing,2020,0,False
Bulgaria,Physical Sciences and Engineering,2018,0,True
Chile,Energy Management,2014,0,True
Chile,Business,2018,0,True
Romania,Transportation,2020,0,False
Romania,Industry and Manufacturing,2020,0,False
Romania,Security,2015,0,True
Israel,Energy Management,2015,0,True
Ukraine,Industry and Manufacturing,2014,0,True
Ukraine,Physical Sciences and Engineering,2014,0,True
Ireland,Business,2021,1,False
Argentina,Personal Devices and Computing,2017,0,True
Australia,Energy Management,2015,4,True
Belgium,Life Sciences,2018,1,True
Brazil,Telecommunications,2017,9,True
Brazil,Telecommunications,2020,24,False
Canada,Personal Devices and Computing,2019,312,True
Canada,Business,2023,1,False
Switzerland,Physical Sciences and Engineering,2018,0,True
Switzerland,Personal Devices and Computing,2022,0,False
China (mainland),Energy Management,2016,537,True
China (mainland),Energy Management,2020,3222,False
China (mainland),Energy Management,2021,4628,False
China (mainland),Industry and Manufacturing,2019,1821,True
China (mainland),Physical Sciences and Engineering,2015,67,True
China (mainland),Physical Sciences and Engineering,2020,1705,False
Colombia,Physical Sciences and Engineering,2023,0,False
Colombia,Personal Devices and Computing,2021,1,False
Czechia,Industry and Manufacturing,2020,0,False
Germany,Personal Devices and Computing,2022,151,False
Germany,Transportation,2015,60,True
Denmark,Transportation,2018,7,True
Finland,Energy Management,2016,0,True
Finland,Energy Management,2017,0,True
Finland,Physical Sciences and Engineering,2022,1,False
Finland,Security,2019,2,True
Finland,Industry and Manufacturing,2016,1,True
Finland,All,2021,37,False
France,Security,2023,0,False
France,Telecommunications,2023,0,False
France,Banking and Finance,2017,5,True
France,Banking and Finance,2019,13,True
France,Life Sciences,2018,30,True
France,Energy Management,2023,0,False
United Kingdom,Life Sciences,2018,100,True
United Kingdom,Physical Sciences and Engineering,2015,11,True
United Kingdom,Telecommunications,2024,0,False
Greece,Physical Sciences and Engineering,2023,0,False
Greece,Transportation,2016,0,True
Greece,Banking and Finance,2018,0,True
Greece,Banking and Finance,2022,0,False
Greece,Banking and Finance,2023,0,False
Croatia,Life Sciences,2015,1,True
Hungary,All,2018,4,True
Israel,Banking and Finance,2018,0,True
India,Industry and Manufacturing,2014,0,True
India,Personal Devices and Computing,2016,90,True
Italy,Business,2015,1,True
Italy,Business,2018,4,True
Italy,Security,2014,0,True
Italy,Telecommunications,2019,12,True
Japan,Personal Devices and Computing,2018,1274,True
Japan,Banking and Finance,2015,18,True
Japan,Banking and Finance,2020,87,False
Japan,Energy Management,2021,144,False
South Korea,All,2016,1162,True
South Korea,Security,2018,225,True
Lithuania,Telecommunications,2019,1,True
Morocco,Transportation,2015,0,True
Mexico,Business,2021,15,False
Mexico,Personal Devices and Computing,2014,8,True
Mexico,Physical Sciences and Engineering,2018,11,True
Malaysia,Transportation,2017,1,True
Netherlands,Transportation,2020,1,False
Norway,Physical Sciences and Engineering,2019,0,True
Norway,Energy Management,2021,1,False
Norway,Industry and Manufacturing,2016,0,True
Norway,Banking and Finance,2021,0,False
Norway,All,2021,5,False
New Zealand,Security,2019,1,True
New Zealand,Transportation,2020,0,False
New Zealand,Physical Sciences and Engineering,2019,1,True
Peru,Telecommunications,2016,1,True
Peru,Energy Management,2019,0,True
Philippines,Banking and Finance,2017,0,True
Philippines,Life Sciences,2020,1,False
Philippines,Transportation,2019,1,True
Poland,Energy Management,2014,0,True
Poland,Personal Devices and Computing,2020,3,False
Portugal,Personal Devices and Computing,2022,0,False
Russia,Banking and Finance,2014,0,True
Russia,Transportation,2021,5,False
Sweden,Personal Devices and Computing,2014,2,True
Sweden,Banking and Finance,2020,1,False
Singapore,Business,2020,10,False
Slovenia,All,2015,2,True
Turkey,Physical Sciences and Engineering,2015,0,True
Turkey,All,2019,25,True
Taiwan,Energy Management,2023,0,False
Taiwan,Security,2014,0,True
Ukraine,Life Sciences,2019,0,True
Ukraine,All,2021,6,False
United States,All,2018,13470,True
United States,Physical Sciences and Engineering,2022,127,False
United States,Energy Management,2023,3,False
United States,Industry and Manufacturing,2018,515,True
United States,Business,2020,1850,False
South Africa,Personal Devices and Computing,2014,0,True
South Africa,Security,2022,0,False
Kenya,Security,2016,0,True
Sri Lanka,Physical Sciences and Engineering,2016,0,True
"Moldova, Republic of",Transportation,2021,0,False
Tunisia,Energy Management,2021,0,False
Colombia,Energy Management,2019,0,True
Bulgaria,Industry and Manufacturing,2019,0,True
Romania,Transportation,2015,0,True
Romania,Security,2019,0,True
Serbia,Telecommunications,2014,0,True
Serbia,Telecommunications,2020,0,False
Ukraine,Physical Sciences and Engineering,2015,0,True
Jordan,Telecommunications,2021,0,False
Argentina,Banking and Finance,2022,1,False
Austria,Transportation,2022,4,False
Australia,Physical Sciences and Engineering,2019,46,True
Australia,Transportation,2018,41,True
Belgium,Industry and Manufacturing,2018,3,True
Bulgaria,All,2018,4,True
Brazil,Energy Management,2021,3,False
Brazil,Telecommunications,2019,45,True
Canada,Life Sciences,2018,227,True
Canada,Business,2014,12,True
Switzerland,Security,2016,1,True
Switzerland,Business,2021,3,False
Switzerland,Energy Management,2021,0,False
Switzerland,Life Sciences,2022,0,False
Switzerland,Personal Devices and Computing,2018,2,True
Switzerland,Industry and Manufacturing,2014,0,True
Chile,All,2021,1,False
China (mainland),Transportation,2021,4334,False
China (mainland),Security,2023,3599,False
Colombia,Life Sciences,2023,1,False
Colombia,All,2015,2,True
Czechia,Business,2023,1,False
Germany,Physical Sciences and Engineering,2020,33,False
Germany,Industry and Manufacturing,2019,73,True
Denmark,Physical Sciences and Engineering,2014,0,True
Denmark,All,2018,24,True
Spain,Business,2018,2,True
Spain,Business,2019,5,True
Spain,Business,2022,1,False
Finland,Energy Management,2019,1,True
United Kingdom,Industry and Manufacturing,2024,0,False
United Kingdom,Life Sciences,2017,45,True
Greece,Industry and Manufacturing,2019,0,True
Hong Kong,Business,2018,2,True
Hungary,Industry and Manufacturing,2022,0,False
Hungary,Security,2021,0,False
Israel,Banking and Finance,2015,0,True
Israel,Personal Devices and Computing,2018,9,True
Israel,Personal Devices and Computing,2019,9,True
Israel,Industry and Manufacturing,2020,1,False
Israel,Life Sciences,2018,5,True
India,Security,2016,6,True
Italy,Security,2018,4,True
Italy,Physical Sciences and Engineering,2022,2,False
Italy,Telecommunications,2017,7,True
Japan,Security,2016,61,True
South Korea,Industry and Manufacturing,2019,548,True
Luxembourg,Energy Management,2021,3,False
Luxembourg,Banking and Finance,2017,0,True
Luxembourg,Life Sciences,2022,6,False
Luxembourg,Transportation,2020,1,False
Morocco,Transportation,2018,0,True
Mexico,Business,2015,6,True
Mexico,Transportation,2020,10,False
Mexico,Telecommunications,2015,7,True
Malaysia,Banking and Finance,2017,1,True
Malaysia,Transportation,2018,1,True
Malaysia,Security,2014,2,True
Malaysia,Security,2021,0,False
Netherlands,Telecommunications,2022,4,False
Netherlands,Security,2018,1,True
Netherlands,Industry and Manufacturing,2023,0,False
New Zealand,All,2016,3,True
New Zealand,Personal Devices and Computing,2018,5,True
New Zealand,Telecommunications,2017,1,True
Peru,Industry and Manufacturing,2020,3,False
Peru,Personal Devices and Computing,2018,2,True
Peru,Physical Sciences and Engineering,2021,2,False
Philippines,All,2019,7,True
Poland,Industry and Manufacturing,2014,2,True
Poland,Business,2018,2,True
Poland,All,2018,21,True
Portugal,All,2020,8,False
Portugal,Transportation,2015,1,True
Romania,Telecommunications,2022,0,False
Serbia,All,2020,5,False
Russia,Business,2015,10,True
Russia,Personal Devices and Computing,2019,79,True
Russia,Industry and Manufacturing,2020,7,False
Russia,Transportation,2015,17,True
Sweden,Security,2020,4,False
Sweden,Energy Management,2014,0,True
Sweden,Energy Management,2017,0,True
Sweden,Banking and Finance,2014,0,True
Sweden,Industry and Manufacturing,2015,0,True
Sweden,Transportation,2022,1,False
Sweden,Business,2022,1,False
Sweden,Life Sciences,2019,7,True
Singapore,Industry and Manufacturing,2020,0,False
Singapore,Security,2020,7,False
Turkey,Banking and Finance,2019,0,True
Turkey,Transportation,2021,4,False
Turkey,Life Sciences,2019,4,True
Taiwan,Life Sciences,2016,14,True
Taiwan,Transportation,2018,15,True
Taiwan,Security,2022,6,False
United States,Banking and Finance,2020,724,False
United States,Physical Sciences and Engineering,2019,409,True
United States,Personal Devices and Computing,2014,1309,True
South Africa,Energy Management,2014,0,True
South Africa,Energy Management,2019,1,True
Jordan,Energy Management,2021,0,False
Ireland,Industry and Manufacturing,2016,0,True
Colombia,Energy Management,2017,0,True
Chile,Banking and Finance,2023,0,False
Romania,Banking and Finance,2023,0,False
Ukraine,Business,2016,0,True
Ukraine,Transportation,2016,0,True
South Africa,Transportation,2021,0,False
Iran,All,2018,1,True
"Moldova, Republic of",All,2021,1,False
Argentina,Life Sciences,2020,2,False
Austria,Personal Devices and Computing,2019,1,True
Austria,Industry and Manufacturing,2015,0,True
Australia,Energy Management,2018,14,True
Australia,Life Sciences,2015,38,True
Australia,Business,2016,61,True
Australia,Personal Devices and Computing,2020,325,False
Australia,Security,2020,74,False
Belgium,Transportation,2017,2,True
Bulgaria,All,2021,4,False
Brazil,Business,2022,1,False
Canada,Business,2016,78,True
Canada,All,2014,118,True
Switzerland,Banking and Finance,2021,1,False
Switzerland,Security,2020,0,False
Switzerland,All,2017,2,True
Chile,Physical Sciences and Engineering,2014,0,True
China (mainland),Energy Management,2018,1287,True
China (mainland),Energy Management,2022,5794,False
China (mainland),Physical Sciences and Engineering,2024,29,False
Colombia,Security,2021,0,False
Czechia,Industry and Manufacturing,2018,0,True
Czechia,Personal Devices and Computing,2019,0,True
Germany,Business,2015,11,True
Denmark,Physical Sciences and Engineering,2018,2,True
Denmark,Physical Sciences and Engineering,2022,1,False
Denmark,Business,2018,2,True
Denmark,Business,2022,0,False
Denmark,Telecommunications,2019,6,True
Finland,Telecommunications,2016,2,True
Finland,Transportation,2016,0,True
Finland,All,2019,34,True
France,Business,2018,17,True
France,Industry and Manufacturing,2017,2,True
France,Personal Devices and Computing,2020,88,False
United Kingdom,Physical Sciences and Engineering,2017,20,True
Greece,Energy Management,2017,0,True
Hong Kong,Life Sciences,2019,0,True
Hungary,Banking and Finance,2021,0,False
Israel,All,2022,15,False
Israel,Banking and Finance,2016,0,True
Israel,Physical Sciences and Engineering,2014,0,True
India,Industry and Manufacturing,2015,3,True
Italy,Security,2016,1,True
Italy,Security,2021,10,False
Italy,Personal Devices and Computing,2014,0,True
Italy,Telecommunications,2016,2,True
Japan,Physical Sciences and Engineering,2021,130,False
Japan,Life Sciences,2016,222,True
South Korea,Energy Management,2023,12,False
South Korea,Industry and Manufacturing,2022,291,False
Lithuania,Physical Sciences and Engineering,2015,0,True
Lithuania,Telecommunications,2017,0,True
Luxembourg,Banking and Finance,2019,0,True
Luxembourg,Life Sciences,2018,3,True
Latvia,Telecommunications,2017,0,True
Mexico,All,2019,106,True
Malaysia,Banking and Finance,2018,1,True
Malaysia,Physical Sciences and Engineering,2020,0,False
Malaysia,Personal Devices and Computing,2017,5,True
Malaysia,Industry and Manufacturing,2019,1,True
Norway,Energy Management,2017,0,True
Norway,Life Sciences,2019,1,True
New Zealand,Security,2017,1,True
New Zealand,Transportation,2017,0,True
New Zealand,Business,2018,1,True
New Zealand,Industry and Manufacturing,2019,1,True
Poland,Industry and Manufacturing,2022,0,False
Poland,Banking and Finance,2015,2,True
Portugal,Life Sciences,2014,0,True
Portugal,Energy Management,2022,0,False
Romania,All,2018,5,True
Serbia,Business,2016,0,True
Russia,Life Sciences,2016,32,True
Sweden,Banking and Finance,2022,3,False
Singapore,Transportation,2016,3,True
