country,field,num_articles,num_citations
Burkina Faso,Robotics,4,240
Costa Rica,AI Safety,4,114
Yemen,AI Safety,4,109
Ethiopia,AI Safety,4,4
Zimbabwe,AI Safety,4,11
Guinea,Computer Vision,4,10
Chad,Computer Vision,4,1
Swaziland,Computer Vision,4,90
Cameroon,Large language models,4,34
Bahamas,Large language models,4,354
Bahrain,Large language models,4,38
Tajikistan,Large language models,4,47
Belarus,Large language models,4,2
Laos,Natural Language Processing,4,0
Lesotho,Natural Language Processing,4,13
Saint Lucia,All,5,8
Turkmenistan,Robotics,5,16
Gabon,Robotics,5,4
Monaco,Robotics,5,75
Cameroon,AI Safety,5,7
Cambodia,AI Safety,5,15
Afghanistan,AI Safety,5,22
South Sudan,AI Safety,5,457
Angola,Computer Vision,5,0
Haiti,Computer Vision,5,14
Timor-Leste,Computer Vision,5,118
Ghana,Large language models,5,331
Bermuda,Natural Language Processing,5,338
Swaziland,Natural Language Processing,5,19
Guinea,All,6,18
Micronesia,All,6,41
Uganda,AI Safety,6,13
Burundi,AI Safety,6,1350
Bahrain,AI Safety,6,9
Bosnia and Herzegovina,AI Safety,6,5
Mongolia,AI Safety,6,63
Azerbaijan,AI Safety,6,15
Eritrea,Computer Vision,6,9
Monaco,Computer Vision,6,111
Trinidad and Tobago,Natural Language Processing,6,19
Nicaragua,Natural Language Processing,6,203
Congo,Natural Language Processing,6,10
Tonga,All,7,50
Cape Verde,All,7,44
Namibia,Robotics,7,44
Mali,Robotics,7,271
Senegal,AI Safety,7,19
Togo,Computer Vision,7,102
Gambia,Computer Vision,7,61
Sierra Leone,Computer Vision,7,85
Saint Kitts and Nevis,Computer Vision,7,8
Uzbekistan,Large language models,7,67
Uganda,Large language models,7,110
Fiji,Natural Language Processing,7,57
Papua New Guinea,Natural Language Processing,7,68
El Salvador,Natural Language Processing,7,6
Vatican City,All,8,52
Tuvalu,All,8,1
Djibouti,All,8,29
São Tomé and Príncipe,All,8,64
Dominica,All,8,65
Congo,Robotics,8,15
San Marino,Robotics,8,105
Tuvalu,Robotics,8,1
Peru,AI Safety,8,29
Laos,Computer Vision,8,64
Uruguay,Large language models,8,103
Kuwait,Large language models,8,144
Oman,Large language models,8,33
Armenia,Large language models,8,467
Ethiopia,Large language models,8,56
Paraguay,Natural Language Processing,8,29
Somalia,Natural Language Processing,8,35
Comoros,All,9,63
Andorra,All,9,301
Haiti,All,9,16
Belize,All,9,72
Barbados,Robotics,9,37
Dominican Republic,Robotics,9,16
Benin,Robotics,9,10
Latvia,AI Safety,9,89
Cuba,AI Safety,9,128
Mauritania,Computer Vision,9,25
Jamaica,Large language models,9,333
Guatemala,Natural Language Processing,9,236
Dominican Republic,Natural Language Processing,9,542
Burundi,Robotics,10,308
Uruguay,AI Safety,10,67
Kenya,AI Safety,10,194
Bhutan,Computer Vision,10,171
Antigua and Barbuda,Computer Vision,10,114
Maldives,Computer Vision,10,183
Myanmar,Large language models,10,79
Lithuania,Large language models,10,47
Iceland,Large language models,10,412
Madagascar,Natural Language Processing,10,36
Malawi,Natural Language Processing,10,188
Bhutan,Natural Language Processing,10,21
Kyrgyzstan,Robotics,11,18
Oman,AI Safety,11,9
Iceland,AI Safety,11,89
Brunei Darussalam,AI Safety,11,45
Yemen,Large language models,11,412
Nepal,Large language models,11,68
Peru,Large language models,11,61
Bahamas,Natural Language Processing,11,470
Liechtenstein,Natural Language Processing,11,361
Turkmenistan,All,12,46
Bermuda,All,12,387
Senegal,Robotics,12,11
Afghanistan,Robotics,12,116
Papua New Guinea,Robotics,12,163
Kuwait,AI Safety,12,111
Niger,Computer Vision,12,109
Gabon,Computer Vision,12,81
Mongolia,Large language models,12,51
Kenya,Large language models,12,707
Zambia,Natural Language Processing,12,583
Namibia,Natural Language Processing,12,520
Mozambique,Natural Language Processing,12,72
Panama,Natural Language Processing,12,48
San Marino,All,13,109
North Korea,Robotics,13,85
Ghana,AI Safety,13,264
Colombia,Large language models,13,140
Latvia,Large language models,13,74
Burundi,Large language models,13,358
Palau,Robotics,14,254
Liechtenstein,Computer Vision,14,256
Somalia,Computer Vision,14,116
Malta,Large language models,14,353
Burkina Faso,Natural Language Processing,14,89
Trinidad and Tobago,Robotics,15,65
Tanzania,Robotics,15,189
Lithuania,AI Safety,15,96
Liechtenstein,AI Safety,15,491
Nicaragua,Computer Vision,15,21
Honduras,Natural Language Processing,15,25
Benin,Natural Language Processing,15,86
Chad,All,16,105
Guyana,All,16,38
Timor-Leste,All,16,212
Jamaica,Robotics,16,687
Georgia,Robotics,16,119
Uzbekistan,AI Safety,16,219
North Macedonia,AI Safety,16,262
Liberia,Computer Vision,16,55
Nigeria,Large language models,16,752
Ecuador,Large language models,16,151
Rwanda,Natural Language Processing,16,351
Palau,All,17,258
Saint Kitts and Nevis,All,17,115
Rwanda,Robotics,17,204
Cyprus,Large language models,17,216
Argentina,Large language models,17,174
Côte d'Ivoire,Natural Language Processing,17,243
Eritrea,All,18,13
Liechtenstein,Robotics,18,211
Ukraine,AI Safety,18,57
North Macedonia,Large language models,18,287
Jamaica,Natural Language Processing,18,629
Grenada,Robotics,20,185
Lebanon,Large language models,20,1297
Serbia,Large language models,20,142
Estonia,Large language models,20,885
Zimbabwe,Natural Language Processing,20,92
Nicaragua,Robotics,21,48
Albania,Robotics,21,189
Namibia,Computer Vision,21,317
Kazakhstan,Large language models,21,74
South Sudan,Large language models,21,788
Bulgaria,Large language models,21,209
Monaco,All,24,499
Bahamas,All,24,731
Kazakhstan,AI Safety,24,476
Burkina Faso,Computer Vision,24,129
Mali,Natural Language Processing,24,724
Afghanistan,Natural Language Processing,24,159
Lesotho,All,25,155
Mozambique,Robotics,25,44
El Salvador,Computer Vision,25,92
Kosovo,Computer Vision,25,110
Iraq,Large language models,25,55
Maldives,All,30,467
Sierra Leone,All,30,312
Barbados,All,30,433
Botswana,Robotics,30,266
Georgia,Computer Vision,30,121
Congo,Computer Vision,30,772
Sri Lanka,Large language models,30,316
Tunisia,Large language models,30,287
Tanzania,Natural Language Processing,30,92
Jordan,AI Safety,50,550
Estonia,AI Safety,50,650
Honduras,Computer Vision,50,218
Slovenia,Large language models,50,667
Montenegro,Natural Language Processing,50,92
Iceland,Robotics,70,2308
Myanmar,Robotics,70,486
Algeria,AI Safety,70,1671
Afghanistan,Computer Vision,70,533
Tajikistan,Natural Language Processing,70,408
Bahrain,Natural Language Processing,70,936
Burundi,Natural Language Processing,70,2338
